Coach,Win Percent,Season,Record,Team,Sport
Debbie Kiick,.703,2011-12,26-11,Millikin,Womens Volleyball
Brent Chase,.000,2015-16,0-0,Finlandia,Mens Soccer
Brent Chase,.400,2014-15,6-9,Finlandia,Mens Soccer
Gregg Miller,.389,2014-15,7-11,Manhattanville,Mens Soccer
Gregg Miller,.000,2015-16,0-0,Manhattanville,Mens Soccer
Jim Harbaugh,.333,2007-08,4-8,Stanford,Football
Doug Hess,.361,2014-15,5-10-3,Drexel,Mens Soccer
Leslie Oskey,.000,2015-16,0-0,Cornell College,Womens Soccer
Leslie Oskey,.472,2014-15,8-9-1,Cornell College,Womens Soccer
David Schwepker,.231,2012-13,6-20,Murray St.,Womens Volleyball
Helen Knull,.583,2013-14,14-10,Michigan St.,Field Hockey
Helen Knull,.500,2012-13,10-10,Michigan St.,Field Hockey
Helen Knull,.350,2011-12,7-13,Michigan St.,Field Hockey
Keith Emery,.000,2015-16,0-0,Western New Eng.,Football
Andrew Gamarra,.000,2015-16,0-0,Sage Colleges,Womens Soccer
Andrew Gamarra,.650,2014-15,12-6-2,Sage Colleges,Womens Soccer
Helen Knull,.000,2015-16,0-0,Michigan St.,Field Hockey
Helen Knull,.526,2014-15,10-9,Michigan St.,Field Hockey
Mike Getman,.694,2013-14,12-5-1,UAB,Mens Soccer
Ron Rainey,.674,2013-14,15-7-1,Iowa,Womens Soccer
Mary Wise,.875,2014-15,28-4,Florida,Womens Volleyball
Mike Getman,.600,2014-15,11-7-2,UAB,Mens Soccer
Becca Saal,.500,2012-13,14-14,Carroll (WI),Womens Volleyball
Becca Saal,.448,2011-12,13-16,Carroll (WI),Womens Volleyball
Dean Hood,.000,2015-16,0-0,Eastern Ky.,Football
Dean Hood,.692,2014-15,9-4,Eastern Ky.,Football
Ron Rainey,.725,2011-12,13-4-3,Iowa,Womens Soccer
Becca Saal,.000,2015-16,0-0,Carroll (WI),Womens Volleyball
Becca Saal,.379,2014-15,11-18,Carroll (WI),Womens Volleyball
Becca Saal,.600,2013-14,18-12,Carroll (WI),Womens Volleyball
Mike Marks,.571,2002-03,20-15,Alvernia,Womens Volleyball
Brad Saindon,.636,2011-12,14-8,Western Ore.,Womens Volleyball
Mike Getman,.000,2015-16,0-0,UAB,Mens Soccer
Jerry Schmitt,.818,2011-12,9-2,Duquesne,Football
Josh Laux,.000,2015-16,0-0,Randolph-Macon,Mens Soccer
Drayson Hounsome,.000,2015-16,0-0,Rider,Womens Soccer
Josh Laux,.639,2014-15,10-5-3,Hampden-Sydney,Mens Soccer
Chris Adams,.727,2012-13,15-5-2,North Georgia,Womens Soccer
Josh Laux,.583,2013-14,9-6-3,Hampden-Sydney,Mens Soccer
Josh Laux,.353,2012-13,6-11,Hampden-Sydney,Mens Soccer
Joe Barroso,.632,2011-12,10-5-4,Sacred Heart,Mens Soccer
Joe Barroso,.529,2012-13,9-8,Sacred Heart,Mens Soccer
Joe Barroso,.278,2013-14,5-13,Sacred Heart,Mens Soccer
Mark Berson,.333,2012-13,5-11-2,South Carolina,Mens Soccer
Adrian Blewitt,.833,2011-12,17-3-1,Lenoir-Rhyne,Womens Soccer
Adrian Blewitt,.222,2013-14,4-14,Little Rock,Womens Soccer
Adrian Blewitt,.575,2014-15,11-8-1,Little Rock,Womens Soccer
Adrian Blewitt,.000,2015-16,0-0,Little Rock,Womens Soccer
Karen Bunkenburg,.676,2012-13,23-11,North Central (IL),Womens Volleyball
Karen Bunkenburg,.353,2013-14,12-22,North Central (IL),Womens Volleyball
Karen Bunkenburg,.588,2014-15,20-14,North Central (IL),Womens Volleyball
Karen Bunkenburg,.000,2015-16,0-0,North Central (IL),Womens Volleyball
Joe Barroso,.000,2015-16,0-0,Sacred Heart,Mens Soccer
Joe Barroso,.444,2000-01,6-8-4,Sacred Heart,Womens Soccer
Dan Kreiger,.000,2015-16,0-0,Lock Haven,Womens Volleyball
Karen Bunkenburg,.514,2011-12,18-17,North Central (IL),Womens Volleyball
Jamie Terenzi,.000,2015-16,0-0,Shenandoah,Womens Volleyball
Jeff Farrington,.000,2015-16,0-0,North Greenville,Football
Jeff Farrington,.583,2014-15,7-5,North Greenville,Football
Beth Bacher,.000,2015-16,0-0,Fitchburg St.,Field Hockey
Chad Webb,.475,2011-12,9-10-1,West Tex. A&M,Womens Soccer
Chad Webb,.643,2012-13,13-7-1,West Tex. A&M,Womens Soccer
Chad Webb,.450,2013-14,6-8-6,West Tex. A&M,Womens Soccer
Beth Bacher,.471,2011-12,8-9,Fitchburg St.,Field Hockey
Beth Bacher,.389,2012-13,7-11,Fitchburg St.,Field Hockey
Beth Bacher,.353,2013-14,6-11,Fitchburg St.,Field Hockey
Beth Bacher,.444,2014-15,8-10,Fitchburg St.,Field Hockey
Clint Browne,.775,2011-12,15-4-1,Christian Bros.,Mens Soccer
Chad Webb,.389,2014-15,7-11,West Tex. A&M,Womens Soccer
Chad Webb,.000,2015-16,0-0,West Tex. A&M,Womens Soccer
Dan Magner,.684,2013-14,13-6,Minn.-Morris,Womens Soccer
Mauicio Ruiz,.000,2015-16,0-0,Jacksonville,Mens Soccer
Mauicio Ruiz,.250,2014-15,4-12,Jacksonville,Mens Soccer
Kevin Smerko,.000,2015-16,0-0,Rockford,Womens Soccer
Matt Haney,.375,2002-03,15-25,Bloomsburg,Baseball
Bob Stoops,.846,2013-14,11-2,Oklahoma,Football
Kevin Smerko,.300,2014-15,4-10-1,Rockford,Womens Soccer
Michael Smith,.429,2011-12,5-7-2,Trinity (CT),Womens Soccer
Clare McBane,.000,2015-16,0-0,Franciscan,Womens Soccer
Clare McBane,.711,2014-15,13-5-1,Franciscan,Womens Soccer
Clare McBane,.600,2013-14,12-8,Franciscan,Womens Soccer
Jeff Ykoruk,.000,2015-16,0-0,Moravian,Womens Soccer
Jeff Ykoruk,.417,2014-15,7-10-1,Moravian,Womens Soccer
Jeff Ykoruk,.469,2011-12,7-8-1,Ursinus,Womens Soccer
Jeff Ykoruk,.583,2010-11,10-7-1,Ursinus,Womens Soccer
Jeff Ykoruk,.531,2009-10,8-7-1,Ursinus,Womens Soccer
Sharon Dingman,.000,2015-16,0-0,Chicago,Womens Volleyball
Jamie Terenzi,.448,2012-13,13-16,Shenandoah,Womens Volleyball
Tony McCall,.875,2012-13,17-2-1,Regis (CO),Mens Soccer
Russ Martin,.000,2015-16,0-0,Colorado Mesa,Football
Patrick Murphy,.100,2011-12,1-9,St. Anselm,Football
Jamie Terenzi,.514,2011-12,18-17,Shenandoah,Womens Volleyball
Matt Haney,.330,2003-04,14-29-,Bloomsburg,Baseball
Will Condon,.846,2012-13,33-6,Armstrong,Womens Volleyball
Will Condon,.923,2011-12,36-3,Armstrong,Womens Volleyball
Will Condon,.909,2014-15,30-3,Armstrong,Womens Volleyball
Will Condon,.941,2013-14,32-2,Armstrong,Womens Volleyball
Steve Johnson,.549,2010-11,28-23,Fort Hays St.,Baseball
Will Condon,.000,2015-16,0-0,Armstrong,Womens Volleyball
Steve Johnson,.511,2012-13,23-22,Fort Hays St.,Baseball
Steve Johnson,.547,2011-12,29-24,Fort Hays St.,Baseball
Steve Johnson,.404,2014-15,19-28,Fort Hays St.,Baseball
Steve Johnson,.356,2013-14,16-29,Fort Hays St.,Baseball
Nick Juengert,.771,2012-13,17-4-3,Stockton,Womens Soccer
Nick Juengert,.680,2013-14,17-8,Stockton,Womens Soccer
Kirk Ferentz,.000,2015-16,0-0,Iowa,Football
Nick Juengert,.654,2011-12,15-7-4,Stockton,Womens Soccer
Kirk Ferentz,.615,2013-14,8-5,Iowa,Football
Kirk Ferentz,.538,2014-15,7-6,Iowa,Football
Susan Ryan,.265,2011-12,4-12-1,Stony Brook,Womens Soccer
Renato Capobianco,.444,2013-14,7-9-2,Regis (MA),Mens Soccer
Russ Martin,.455,2013-14,5-6,Colorado Mesa,Football
Camrin Azzarano,.571,2011-12,12-9,Eastern,Field Hockey
Allen Vital,.472,2012-13,7-8-3,Tusculum,Mens Soccer
Bob Stoops,.769,2012-13,10-3,Oklahoma,Football
Camrin Azzarano,.727,2012-13,16-6,Eastern,Field Hockey
John Haws,.529,2011-12,9-8,Saint Johns (MN),Mens Soccer
Greg Hooks,.353,2012-13,5-10-2,USC Upstate,Mens Soccer
Gary Dunda,.605,2014-15,10-6-3,Geneva,Mens Soccer
Gary Dunda,.000,2015-16,0-0,Geneva,Mens Soccer
Gary Dunda,.548,2012-13,9-7-5,Geneva,Mens Soccer
Gary Dunda,.526,2013-14,8-7-4,Geneva,Mens Soccer
Gary Hamel,.000,2015-16,0-0,Mars Hill,Mens Soccer
Gary Dunda,.700,2011-12,16-6-3,Geneva,Mens Soccer
Gary Hamel,.412,2013-14,7-10,Mars Hill,Mens Soccer
Gary Hamel,.559,2014-15,9-7-1,Mars Hill,Mens Soccer
Sean Phillips,.000,2015-16,0-0,Ill.-Chicago,Mens Soccer
Gary Hamel,.775,2012-13,14-3-3,Mars Hill,Mens Soccer
Luke Gibson,.156,2014-15,2-13-1,Cairn,Mens Soccer
Mike Middleton,.000,2015-16,0-0,Gust. Adolphus,Mens Soccer
Scott Phipps,.250,2007-08,4-13-1,Buena Vista,Mens Soccer
Luke Gibson,.000,2015-16,0-0,Cairn,Mens Soccer
Mike Middleton,.825,2012-13,15-2-3,Gust. Adolphus,Mens Soccer
Mike Middleton,.816,2011-12,14-2-3,Gust. Adolphus,Mens Soccer
Mike Middleton,.750,2014-15,16-5-1,Gust. Adolphus,Mens Soccer
Mike Middleton,.763,2013-14,14-4-1,Gust. Adolphus,Mens Soccer
Nick Roberts,.500,2013-14,7-7-4,Urbana,Mens Soccer
Scott Phipps,.447,2014-15,8-10-1,Alderson Broaddus,Mens Soccer
Scott Phipps,.111,2008-09,2-16,Buena Vista,Mens Soccer
Tom Lang,.000,2015-16,0-0,Southern Conn. St.,Mens Soccer
Susan Clements,.735,2011-12,25-9,Niagara,Womens Volleyball
Susan Clements,.062,2012-13,2-30,Wright St.,Womens Volleyball
Susan Clements,.188,2013-14,6-26,Wright St.,Womens Volleyball
Tom Lang,.500,2011-12,8-8-1,Southern Conn. St.,Mens Soccer
Tom Lang,.531,2012-13,8-7-1,Southern Conn. St.,Mens Soccer
Tom Lang,.656,2013-14,10-5-1,Southern Conn. St.,Mens Soccer
Tom Lang,.750,2014-15,15-5,Southern Conn. St.,Mens Soccer
Lee Williams,.500,1964-65,12-12,Colby,Mens Basketball
Mike Keller,.794,2011-12,13-3-1,Menlo,Mens Soccer
Mike Keller,.725,2012-13,13-4-3,Menlo,Mens Soccer
Mike Keller,.583,2013-14,9-6-3,Academy of Art,Mens Soccer
Susan Clements,.179,2014-15,5-23,Wright St.,Womens Volleyball
Susan Clements,.000,2015-16,0-0,Wright St.,Womens Volleyball
Lee Williams,.375,1962-63,9-15,Colby,Mens Basketball
Lee Williams,.458,1963-64,11-13,Colby,Mens Basketball
Jerry Schmitt,.455,2012-13,5-6,Duquesne,Football
Neil Roberts,.593,1987-88,16-11,Southern Utah,Mens Basketball
George Dunbar,.619,2012-13,13-8,Philadelphia U.,Womens Soccer
Jimmy Stephens,.312,2007-08,5-11,Piedmont,Womens Soccer
Samantha Bohon,.841,2011-12,18-3-1,Embry-Riddle (FL),Womens Soccer
Andy Jennings,.625,2011-12,11-6-3,Vassar,Mens Soccer
Jimmy Stephens,.474,2006-07,8-9-2,Piedmont,Womens Soccer
Jimmy Stephens,.474,2003-04,9-10,Emmanuel (GA),Womens Soccer
Jimmy Stephens,.316,2004-05,6-13,Emmanuel (GA),Womens Soccer
Adam Boyer,.389,2012-13,6-10-2,Spalding,Mens Soccer
Jimmy Stephens,.000,2015-16,0-0,Piedmont,Mens Soccer
Jimmy Stephens,.389,2012-13,6-10-2,Piedmont,Mens Soccer
Jimmy Stephens,.333,2013-14,6-12,Piedmont,Mens Soccer
Neil Roberts,.464,1989-90,13-15,Southern Utah,Mens Basketball
Todd Olsen,.000,2015-16,0-0,Lynchburg,Womens Soccer
Jon Akin,.406,2004-05,6-9-1,Oglethorpe,Womens Soccer
Todd Olsen,.964,2014-15,26-0-2,Lynchburg,Womens Soccer
Phil Hindson,.684,2012-13,12-5-2,UNC Pembroke,Mens Soccer
Tom Stone,.717,2012-13,16-6-1,Texas Tech,Womens Soccer
Candice Parent,.000,2015-16,0-0,Colby,Womens Volleyball
Beth Riley,.000,2015-16,0-0,Bryn Mawr,Field Hockey
Andy Jennings,.583,2013-14,8-5-5,Vassar,Mens Soccer
Todd Olsen,.917,2013-14,22-2,Lynchburg,Womens Soccer
Brian Schaefer,.667,2013-14,22-11,Wis.-Oshkosh,Womens Volleyball
Andy Jennings,.690,2012-13,13-5-3,Vassar,Mens Soccer
Tom Stone,.848,2013-14,18-2-3,Texas Tech,Womens Soccer
Tom Stone,.773,2014-15,16-4-2,Texas Tech,Womens Soccer
Andy Jennings,.000,2015-16,0-0,Vassar,Mens Soccer
Braden Zamore,.458,2013-14,11-13,Daniel Webster,Womens Volleyball
Ken Miller,.400,1985-86,4-6,Redlands,Football
Ken Miller,.000,1986-87,0-10,Redlands,Football
Justin Maullin,.000,2015-16,0-0,UNCG,Mens Soccer
Kevin Anderson,.529,2011-12,8-7-2,Columbia,Mens Soccer
Ken Miller,.029,2014-15,0-16-1,Mars Hill,Womens Soccer
Ken Miller,.000,2015-16,0-0,Mars Hill,Womens Soccer
Ken Miller,.538,1994-95,21-18,Redlands,Baseball
Ken Miller,.474,1995-96,18-20-,Redlands,Baseball
Ken Miller,.462,1996-97,18-21,Redlands,Baseball
Ken Miller,.605,1997-98,23-15,Redlands,Baseball
Andy Jennings,.632,2014-15,11-6-2,Vassar,Mens Soccer
Ken Miller,.500,1984-85,5-5,Redlands,Football
Cheryl Murtagh,.737,2014-15,14-5,Northeastern,Field Hockey
Cheryl Murtagh,.000,2015-16,0-0,Northeastern,Field Hockey
Dana Moore,.448,2013-14,13-16,St. Scholastica,Womens Volleyball
Dana Moore,.533,2014-15,16-14,St. Scholastica,Womens Volleyball
Dana Moore,.000,2015-16,0-0,St. Scholastica,Womens Volleyball
Brett Gilliland,.455,2014-15,5-6,West Ala.,Football
Brett Gilliland,.000,2015-16,0-0,West Ala.,Football
Cheryl Murtagh,.636,2011-12,14-8,Northeastern,Field Hockey
Cheryl Murtagh,.667,2012-13,14-7,Northeastern,Field Hockey
Cheryl Murtagh,.381,2013-14,8-13,Northeastern,Field Hockey
Rachel Boyle,.556,2011-12,10-8,Washington Col.,Field Hockey
Ryan Dixon,.000,2015-16,0-0,Goldey-Beacom,Mens Soccer
Ryan Dixon,.222,2012-13,4-14,Goldey-Beacom,Mens Soccer
Brady Starkey,.000,2015-16,0-0,Concordia-St. Paul,Womens Volleyball
Ryan Dixon,.500,2014-15,9-9,Goldey-Beacom,Mens Soccer
Ryan Dixon,.139,2013-14,2-15-1,Goldey-Beacom,Mens Soccer
Kiko Magana,.568,2014-15,9-6-7,Bellevue,Womens Soccer
Melissa Myers,.000,2015-16,0-0,Illinois St.,Womens Volleyball
Brady Starkey,.818,2014-15,27-6,Concordia-St. Paul,Womens Volleyball
Brady Starkey,.921,2013-14,35-3,Concordia-St. Paul,Womens Volleyball
Scott Mejia,.000,2015-16,0-0,Augustana (IL),Womens Soccer
Brandon Koons,.611,2011-12,10-6-2,Otterbein,Womens Soccer
Scott Mejia,.667,2013-14,12-5-4,Augustana (IL),Womens Soccer
Scott Mejia,.684,2014-15,12-5-2,Augustana (IL),Womens Soccer
Scott Mejia,.575,2011-12,11-8-1,Augustana (IL),Womens Soccer
Scott Mejia,.762,2012-13,16-5,Augustana (IL),Womens Soccer
Scott Mejia,.559,2005-06,9-7-1,Augustana (IL),Mens Soccer
Scott Mejia,.526,2006-07,10-9,Augustana (IL),Mens Soccer
Brandon Koons,.684,2012-13,13-6,Otterbein,Womens Soccer
Brandon Koons,.625,2013-14,12-7-1,Otterbein,Womens Soccer
Kate McArthur,.222,2014-15,3-13-2,Millikin,Womens Soccer
Kiko Magana,.526,2013-14,8-7-4,Bellevue,Womens Soccer
Caitlin Connolly,.167,2011-12,3-15,Lasell,Field Hockey
Caitlin Connolly,.263,2012-13,5-14,Lasell,Field Hockey
Caitlin Connolly,.500,2013-14,10-10,Lasell,Field Hockey
Caitlin Connolly,.333,2014-15,6-12,Lasell,Field Hockey
Caitlin Connolly,.000,2015-16,0-0,Lasell,Field Hockey
Caitlin Connolly,.364,2009-10,4-7,Daniel Webster,Womens Lacrosse
Caitlin Connolly,.789,2011-12,15-4,Lasell,Womens Lacrosse
Caitlin Connolly,.789,2012-13,15-4,Lasell,Womens Lacrosse
Caitlin Connolly,.529,2013-14,9-8,Lasell,Womens Lacrosse
Caitlin Connolly,.667,2014-15,12-6,Lasell,Womens Lacrosse
Cory Hewson,.619,2014-15,12-7-2,Mary Washington,Womens Soccer
Cory Hewson,.500,2013-14,10-10,Mary Washington,Womens Soccer
Cory Hewson,.806,2012-13,13-2-3,Mary Washington,Womens Soccer
Cory Hewson,.556,2011-12,9-7-2,Mary Washington,Womens Soccer
Seth Roland,.528,2013-14,9-8-1,Fairleigh Dickinson,Mens Soccer
Laurel Martin,.000,2015-16,0-0,Stevenson,Field Hockey
Mike Tucker,.565,2014-15,12-9-2,Dayton,Womens Soccer
Mike Tucker,.000,2015-16,0-0,Dayton,Womens Soccer
Mike Tucker,.588,1989-90,20-14,Mississippi St.,Womens Volleyball
Mike Tucker,.567,1990-91,17-13,Mississippi St.,Womens Volleyball
Stephanie Dragan,.300,1999-00,9-21,Centre,Softball
Mike Tucker,.826,2011-12,19-4,Dayton,Womens Soccer
Mike Tucker,.750,2012-13,14-4-2,Dayton,Womens Soccer
Mike Tucker,.714,2013-14,14-5-2,Dayton,Womens Soccer
Mike Tucker,.429,1991-92,15-20,Mississippi St.,Womens Volleyball
Mike Tucker,.515,1992-93,17-16,Mississippi St.,Womens Volleyball
Seth Brown,.500,2007-08,10-10-,Husson,Mens Soccer
Juan Delcid,.111,2014-15,2-16,Valley Forge,Womens Soccer
Juan Delcid,.000,2015-16,0-0,Valley Forge,Womens Soccer
Marc Reeves,.526,2011-12,9-8-2,Radford,Mens Soccer
Jeremy Tittle,.857,2001-02,18-3,Lees-McRae,Mens Soccer
Iain Manson,.000,2015-16,0-0,Johnson St.,Mens Soccer
Jeremy Tittle,.000,2015-16,0-0,Metro St.,Mens Soccer
Brandon Duvall,.412,2012-13,14-20,Norfolk St.,Womens Volleyball
Dan Bulley,.525,2013-14,10-9-1,Olivet,Mens Soccer
Brandon Duvall,.083,2014-15,2-22,Norfolk St.,Womens Volleyball
Brandon Duvall,.000,2015-16,0-0,Norfolk St.,Womens Volleyball
Vincent Martinez,.775,2011-12,14-3-3,Incarnate Word,Mens Soccer
Vincent Martinez,.775,2012-13,15-4-1,Incarnate Word,Mens Soccer
Vincent Martinez,.433,2013-14,6-8-1,Incarnate Word,Mens Soccer
Joe Susan,.000,2015-16,0-0,Bucknell,Football
Adam Boyer,.658,2014-15,12-6-1,Spalding,Mens Soccer
Matt Vogel,.658,2014-15,12-6-1,Transylvania,Mens Soccer
Dan Bulley,.000,2015-16,0-0,Olivet,Mens Soccer
Mike Stephens,.129,2013-14,4-27,Okla. Panhandle,Womens Volleyball
Chuck Edkins,.700,2013-14,13-5-2,Misericordia,Mens Soccer
Chuck Edkins,.659,2012-13,13-6-3,Misericordia,Mens Soccer
Dan Bulley,.400,2014-15,8-12,Olivet,Mens Soccer
David Schwepker,.000,2015-16,0-0,Murray St.,Womens Volleyball
David Schwepker,.812,2014-15,26-6,Murray St.,Womens Volleyball
Brent Ridenour,.840,2011-12,20-3-2,Ohio Northern,Mens Soccer
Jeff Wardlaw,.000,2015-16,0-0,Greenville,Womens Soccer
Jeff Wardlaw,.316,2014-15,4-11-4,Greenville,Womens Soccer
Peter Letourneau,.250,2002-03,4-12,Stevenson,Mens Volleyball
Jeff Wardlaw,.525,2012-13,10-9-1,Greenville,Womens Soccer
Colin Petersen,.000,2015-16,0-0,Gannon,Womens Soccer
Colin Petersen,.500,2014-15,9-9,Gannon,Womens Soccer
Colin Petersen,.553,2013-14,10-8-1,Gannon,Womens Soccer
Colin Petersen,.737,2012-13,13-4-2,Gannon,Womens Soccer
Colin Petersen,.611,2011-12,9-5-4,Gannon,Womens Soccer
Tom Hanna,.700,2013-14,21-9,Marist,Womens Volleyball
Tom Hanna,.806,2014-15,25-6,Marist,Womens Volleyball
Tom Hanna,.464,2011-12,13-15,Marist,Womens Volleyball
Tom Hanna,.429,2012-13,12-16,Marist,Womens Volleyball
Barry Chastey,.870,2014-15,20-3,St. Scholastica,Mens Soccer
Joe Susan,.727,2014-15,8-3,Bucknell,Football
Adam Boyer,.526,2013-14,10-9,Spalding,Mens Soccer
Julie Jenkins,.579,2011-12,22-16,Trinity (TX),Womens Volleyball
Joe Susan,.545,2013-14,6-5,Bucknell,Football
Mike Stephens,.071,2014-15,2-26,Okla. Panhandle,Womens Volleyball
Josette Babineau,.550,2013-14,11-9,Maine,Field Hockey
Tom Hanna,.000,2015-16,0-0,Akron,Womens Volleyball
Leah Hartwell,.444,2014-15,8-10,Framingham St.,Field Hockey
Josette Babineau,.500,2012-13,10-10,Maine,Field Hockey
Douglas Hunter,.370,2012-13,10-17,Shaw,Womens Volleyball
Douglas Hunter,.077,2013-14,2-24,Shaw,Womens Volleyball
Douglas Hunter,.167,2010-11,3-15,Shaw,Womens Volleyball
Douglas Hunter,.129,2011-12,4-27,Shaw,Womens Volleyball
Jill Holdren,.667,2014-15,18-9,Immaculata,Womens Volleyball
Jill Holdren,.000,2015-16,0-0,Immaculata,Womens Volleyball
Nathan Norman,.614,2014-15,13-8-1,Western Mich.,Womens Soccer
Nathan Norman,.000,2015-16,0-0,Western Mich.,Womens Soccer
Nathan Norman,.389,2012-13,5-9-4,Western Mich.,Womens Soccer
Nathan Norman,.630,2013-14,12-6-5,Western Mich.,Womens Soccer
Steve Domin,.474,2000-01,8-9-2,Carthage,Womens Soccer
Steve Domin,.895,2001-02,17-2,Carthage,Womens Soccer
Steve Domin,.737,2002-03,13-4-2,Carthage,Womens Soccer
Steve Domin,.605,2003-04,11-7-1,Carthage,Womens Soccer
Steve Domin,.762,2004-05,16-5,Carthage,Womens Soccer
Tim Dempsey,.118,2011-12,2-15,Mansfield,Womens Soccer
Tim Dempsey,.235,2012-13,3-12-2,Mansfield,Womens Soccer
Tim Dempsey,.324,2013-14,5-11-1,Mansfield,Womens Soccer
Tim Dempsey,.206,2014-15,3-13-1,Mansfield,Womens Soccer
Tim Dempsey,.000,2015-16,0-0,Mansfield,Womens Soccer
Mike Stephens,.000,2015-16,0-0,Okla. Panhandle,Womens Volleyball
Iain Manson,.067,2013-14,1-14,Johnson St.,Mens Soccer
April Jauregui,.000,2015-16,0-0,Memphis,Womens Volleyball
Mike Jordan,.697,2011-12,23-10,New Mexico St.,Womens Volleyball
Hal Clifton,.000,2015-16,0-0,N.C. A&T,Womens Volleyball
Mike Conway,.522,1988-89,12-11,Wash. & Jeff.,Baseball
Clint Browne,.000,2015-16,0-0,Christian Bros.,Mens Soccer
Sheila McGill,.000,2015-16,0-0,St. Thomas (MN),Womens Soccer
Lesle Gallimore,.475,2011-12,7-8-5,Washington,Womens Soccer
Greg Hooks,.300,2014-15,4-10-1,USC Upstate,Mens Soccer
Lesle Gallimore,.548,2012-13,10-8-3,Washington,Womens Soccer
Lesle Gallimore,.450,2013-14,7-9-4,Washington,Womens Soccer
Rob Berkowitz,.412,2011-12,5-8-4,East Stroudsburg,Mens Soccer
Sheila McGill,.588,2011-12,9-6-2,St. Thomas (MN),Womens Soccer
Sheila McGill,.444,2012-13,7-9-2,St. Thomas (MN),Womens Soccer
Sheila McGill,.556,2013-14,9-7-2,St. Thomas (MN),Womens Soccer
Josette Babineau,.800,2011-12,16-4,Maine,Field Hockey
Sheila McGill,.500,2014-15,8-8-4,St. Thomas (MN),Womens Soccer
Mick Statham,.278,2012-13,4-12-2,Lafayette,Womens Soccer
Gretchen Krumdieck,.207,2013-14,6-23,Georgia College,Womens Volleyball
Mike Maynard,.000,2015-16,0-0,Redlands,Football
Mick Statham,.353,2013-14,5-10-2,Lafayette,Womens Soccer
Charles Adair,.727,2014-15,16-6,Virginia Tech,Womens Soccer
Paul Leese,.618,2013-14,9-5-3,Coker,Mens Soccer
Ryan Sniegoski,.400,2013-14,5-8-2,Fla. Southern,Mens Soccer
Charles Adair,.000,2015-16,0-0,Virginia Tech,Womens Soccer
Ryan Sniegoski,.000,2015-16,0-0,Fla. Southern,Mens Soccer
Ryan Sniegoski,.367,2014-15,4-8-3,Fla. Southern,Mens Soccer
Mike Maynard,.667,2014-15,6-3,Redlands,Football
Chris Fisher,.778,2011-12,14-4,Hawaii Pacific,Mens Soccer
Steve Payne,.606,2014-15,20-13,IUPUI,Womens Volleyball
Steve Payne,.576,2013-14,19-14,IUPUI,Womens Volleyball
Steve Payne,.688,2012-13,22-10,IUPUI,Womens Volleyball
Steve Payne,.484,2011-12,15-16,IUPUI,Womens Volleyball
Sean Driscoll,.000,2015-16,0-0,Princeton,Womens Soccer
Sean Driscoll,.475,2009-10,8-9-3,Manhattan,Womens Soccer
Sean Driscoll,.472,2008-09,7-8-3,Manhattan,Womens Soccer
Sean Driscoll,.500,2007-08,7-7-4,Manhattan,Womens Soccer
John Chang,.556,2006-07,15-12,Polytechnic (NY),Womens Volleyball
Jay Hoffman,.462,2002-03,12-14,Cal Lutheran,Womens Volleyball
Steve Payne,.576,2011-12,19-14,Tennessee Tech,Mens Basketball
Steve Payne,.000,2015-16,0-0,IUPUI,Womens Volleyball
Charlie Inverso,.263,2011-12,4-13-2,Rider,Mens Soccer
Mark Recker,.750,2012-13,16-5-1,Calvin,Womens Soccer
Mick Statham,.176,1995-96,2-13-2,Mt. St. Mary (NY),Mens Soccer
Mark Recker,.833,2013-14,19-3-2,Calvin,Womens Soccer
Mick Statham,.588,2011-12,9-6-2,Lafayette,Womens Soccer
Jeff Hosler,.650,2013-14,13-7,Alma,Womens Soccer
Jim McElwain,.833,2014-15,10-2,Colorado St.,Football
Charlie Inverso,.556,2014-15,9-7-2,Rider,Mens Soccer
Mark Recker,.500,2011-12,10-10,Calvin,Womens Soccer
Charlie Inverso,.000,2015-16,0-0,Rider,Mens Soccer
Jeff Hosler,.000,2015-16,0-0,Grand Valley St.,Womens Soccer
Hannah Long,.667,2012-13,24-12,Southwestern (TX),Womens Volleyball
Hannah Long,.692,2013-14,27-12,Southwestern (TX),Womens Volleyball
Robert Lane,.841,2010-11,17-2-3,Belmont Abbey,Womens Soccer
Jill Stephens,.806,2014-15,25-6,Fla. Southern,Womens Volleyball
Robert Lane,.333,2007-08,6-12,Coker,Mens Soccer
Sharon Quarles,.457,2011-12,16-19,Augusta,Womens Volleyball
Sharon Quarles,.559,2012-13,19-15,Augusta,Womens Volleyball
Sharon Quarles,.242,2013-14,8-25,Augusta,Womens Volleyball
Sharon Quarles,.750,2014-15,27-9,Augusta,Womens Volleyball
Sharon Quarles,.000,2015-16,0-0,Augusta,Womens Volleyball
Frank Marino,.889,1980-81,8-1,Muhlenberg,Football
Kanae Haneishi,.235,2012-13,3-12-2,Mount Holyoke,Womens Soccer
Robert Lane,.176,2006-07,3-14,Coker,Mens Soccer
Art Briles,.846,2013-14,11-2,Baylor,Football
Dan Palmer,.211,2013-14,4-15,Oberlin,Womens Soccer
Dan Palmer,.556,2014-15,10-8,Oberlin,Womens Soccer
Dan Palmer,.750,2011-12,15-5,CWRU,Mens Soccer
Dan Palmer,.194,2012-13,3-14-1,CWRU,Mens Soccer
Dan Palmer,.609,2009-10,14-9,Bellarmine,Womens Volleyball
Dan Palmer,.643,2010-11,18-10,Bellarmine,Womens Volleyball
